cohort_month,cohort_size,months_since_first,active_persons,orders,gmv,retention_rate,gmv_per_cohort_member,is_observable,analysis_start,analysis_end
2017-01-01,765,5,1,1,59.99,0.00130718954248366,0.07841830065359477,true,2017-01-01,2018-08-31
2017-01-01,765,6,4,4,372.95000000000005,0.00522875816993464,0.4875163398692811,true,2017-01-01,2018-08-31
2017-01-01,765,7,1,1,79.8,0.00130718954248366,0.10431372549019607,true,2017-01-01,2018-08-31
2017-01-01,765,8,1,1,25.9,0.00130718954248366,0.0338562091503268,true,2017-01-01,2018-08-31
2017-01-01,765,10,3,3,373.09999999999997,0.00392156862745098,0.48771241830065354,true,2017-01-01,2018-08-31
2017-01-01,765,11,1,1,49.0,0.00130718954248366,0.06405228758169934,true,2017-01-01,2018-08-31
2017-01-01,765,12,6,6,456.14,0.00784313725490196,0.5962614379084967,true,2017-01-01,2018-08-31
2017-01-01,765,13,3,3,298.8,0.00392156862745098,0.3905882352941177,true,2017-01-01,2018-08-31
2017-01-01,765,14,1,1,48.0,0.00130718954248366,0.06274509803921569,true,2017-01-01,2018-08-31
2017-01-01,765,15,1,1,89.9,0.00130718954248366,0.11751633986928105,true,2017-01-01,2018-08-31
2017-01-01,765,16,2,2,163.9,0.00261437908496732,0.2142483660130719,true,2017-01-01,2018-08-31
2017-01-01,765,17,3,3,319.79,0.00392156862745098,0.4180261437908497,true,2017-01-01,2018-08-31
2017-01-01,765,19,1,1,38.0,0.00130718954248366,0.04967320261437908,true,2017-01-01,2018-08-31
2018-04-01,6711,0,6711,6765,973866.6600000242,1.0,145.1149843540492,true,2017-01-01,2018-08-31
2018-04-01,6711,1,39,39,4299.32,0.00581135449262405,0.6406377589032931,true,2017-01-01,2018-08-31
2018-04-01,6711,2,21,21,3167.7600000000007,0.0031291908806437194,0.4720250335270452,true,2017-01-01,2018-08-31
2018-04-01,6711,3,16,16,1506.86,0.0023841454328714052,0.22453583668603783,true,2017-01-01,2018-08-31
2018-04-01,6711,4,9,10,674.51,0.0013410818059901655,0.10050812099538071,true,2017-01-01,2018-08-31
2017-02-01,1752,0,1752,1777,247178.09999999678,1.0,141.08339041095707,true,2017-01-01,2018-08-31
2017-02-01,1752,1,4,4,478.38,0.00228310502283105,0.2730479452054794,true,2017-01-01,2018-08-31
2017-02-01,1752,2,5,5,484.5,0.0028538812785388126,0.276541095890411,true,2017-01-01,2018-08-31
2017-02-01,1752,3,2,2,89.25,0.001141552511415525,0.05094178082191781,true,2017-01-01,2018-08-31
2017-02-01,1752,4,7,7,978.2199999999999,0.003995433789954338,0.5583447488584474,true,2017-01-01,2018-08-31
2017-02-01,1752,5,2,2,49.989999999999995,0.001141552511415525,0.028533105022831046,true,2017-01-01,2018-08-31
2017-02-01,1752,6,4,4,583.89,0.00228310502283105,0.3332705479452055,true,2017-01-01,2018-08-31
2017-02-01,1752,7,3,3,234.89,0.0017123287671232876,0.13406963470319633,true,2017-01-01,2018-08-31
2017-02-01,1752,8,3,3,572.6999999999999,0.0017123287671232876,0.3268835616438356,true,2017-01-01,2018-08-31
2017-02-01,1752,9,4,4,358.38,0.00228310502283105,0.20455479452054795,true,2017-01-01,2018-08-31
2017-02-01,1752,10,2,2,318.9,0.001141552511415525,0.18202054794520547,true,2017-01-01,2018-08-31
2017-02-01,1752,11,5,5,382.78,0.0028538812785388126,0.21848173515981734,true,2017-01-01,2018-08-31
2017-02-01,1752,12,3,3,269.99,0.0017123287671232876,0.15410388127853883,true,2017-01-01,2018-08-31
2017-02-01,1752,13,3,3,279.8,0.0017123287671232876,0.15970319634703198,true,2017-01-01,2018-08-31
2017-02-01,1752,14,2,2,143.8,0.001141552511415525,0.08207762557077626,true,2017-01-01,2018-08-31
2017-02-01,1752,15,1,1,117.0,0.0005707762557077625,0.06678082191780822,true,2017-01-01,2018-08-31
2017-02-01,1752,16,1,1,251.8,0.0005707762557077625,0.14372146118721463,true,2017-01-01,2018-08-31
2017-02-01,1752,17,4,5,439.36,0.00228310502283105,0.2507762557077626,true,2017-01-01,2018-08-31
2017-03-01,2636,0,2636,2676,373783.02999999985,1.0,141.79932852807278,true,2017-01-01,2018-08-31
2017-03-01,2636,1,13,14,1493.8600000000001,0.004931714719271623,0.5667147192716238,true,2017-01-01,2018-08-31
2017-03-01,2636,2,10,10,1452.2399999999998,0.0037936267071320183,0.5509256449165402,true,2017-01-01,2018-08-31
2017-03-01,2636,3,10,12,1645.0500000000002,0.0037936267071320183,0.6240705614567528,true,2017-01-01,2018-08-31
