seller_id,seller_state,seller_region,cohort_month,last_active_month,active_months,lifespan_months,observable_months,months_silent_at_window_end,orders,gmv,gmv_per_active_month,activity_density,is_censored,churn_event,gmv_quartile,is_major_seller,analysis_start,analysis_end
004c9cd9d87a3c30c522c48c4fc07416,SP,Sudeste,2017-01-01,2018-05-01,17,17,20,3,158,19712.71,1159.5711764705882,1.0,false,1,1,true,2017-01-01,2018-08-31
d650b663c3b5f6fb392b6326366efa9a,SP,Sudeste,2017-12-01,2018-08-01,8,9,9,0,60,19242.9,2405.3625,0.8888888888888888,true,0,1,true,2017-01-01,2018-08-31
821fb029fc6e495ca4f08a35d51e53a5,SP,Sudeste,2018-01-01,2018-08-01,7,8,8,0,28,19187.42,2741.06,0.875,true,0,1,true,2017-01-01,2018-08-31
f457c46070d02cadd8a68551231220dd,PR,Sul,2017-12-01,2018-06-01,7,7,9,2,199,19092.999999999996,2727.571428571428,1.0,false,1,1,true,2017-01-01,2018-08-31
2a5b78b41cd05baeac8df54c6606b92c,MG,Sudeste,2017-07-01,2018-08-01,14,14,14,0,49,19025.359999999997,1358.9542857142856,1.0,true,0,1,true,2017-01-01,2018-08-31
dc317f341ab0e22f39acbd9dbf9b4a1f,RS,Sul,2017-01-01,2018-07-01,11,19,20,1,55,18988.4,1726.2181818181818,0.5789473684210527,true,0,1,true,2017-01-01,2018-08-31
96493fab2fbb13a14d0c0e8772eef5c3,SP,Sudeste,2017-02-01,2018-06-01,16,17,19,2,63,18969.0,1185.5625,0.9411764705882353,false,1,1,true,2017-01-01,2018-08-31
44073f8b7e41514de3b7815dd0237f4f,DF,Centro-Oeste,2017-02-01,2018-08-01,18,19,19,0,144,18729.64,1040.5355555555554,0.9473684210526315,true,0,1,true,2017-01-01,2018-08-31
cd68562d3f44870c08922d380acae552,SP,Sudeste,2017-04-01,2018-06-01,13,15,17,2,125,18569.7,1428.4384615384615,0.8666666666666667,false,1,1,true,2017-01-01,2018-08-31
0dd184061fb0eaa7ca37932c68ab91c5,SP,Sudeste,2017-12-01,2018-08-01,9,9,9,0,161,18446.92,2049.6577777777775,1.0,true,0,1,true,2017-01-01,2018-08-31
