category,n_items,n_orders,n_sellers,gmv,gmv_share,mean_price,median_price,freight_total,mean_freight,freight_to_price_ratio,mean_weight_g,mean_volume_litres,freight_per_kg,mean_route_distance_km,late_rate,mean_delivery_days,mean_handling_days,mean_transit_days,mean_photos,mean_description_length,mean_review_score,detractor_rate,suppress_small_n,analysis_start,analysis_end
construction_tools_construction,929,748,128,144677.5899999997,0.01068384718760796,155.7347578040901,89.0,20650.410000000003,22.228643702906353,0.1427339921822035,3119.390742734123,13.23295479009689,7.1259568089322185,518.9112616253288,0.06331877729257641,10.733935854864177,2.050419421195213,8.224037405992227,2.2744886975242196,911.7825618945102,4.053030303030303,0.15151515151515152,false,2017-01-01,2018-08-31
industry_commerce_and_business,264,232,28,39310.010000000024,0.0029028831609881106,148.90155303030312,104.0,7810.719999999998,29.5860606060606,0.19869544678314743,6732.223484848485,42.073522727272774,4.394693769843926,528.7768739892347,0.06538461538461539,10.705909277065532,2.2157045495014236,8.054511440527063,2.5568181818181817,1175.905303030303,4.095785440613027,0.13793103448275862,false,2017-01-01,2018-08-31
books_technical,266,259,25,18829.06000000001,0.0013904489266534092,70.78593984962409,57.49,4250.220000000003,15.978270676691741,0.2257266161985782,1011.1315789473684,3.128748120300752,15.802365398700937,547.5979612784056,0.07984790874524715,10.654120634417689,2.452230891775806,7.689213094986624,1.0751879699248121,1319.9097744360902,4.376425855513308,0.10646387832699619,false,2017-01-01,2018-08-31
fashion_male_clothing,131,111,13,10772.919999999982,0.0007955359986596789,82.236030534351,59.9,2141.4499999999985,16.346946564885485,0.1987808319378592,581.8702290076336,8.48007633587786,28.093801246310246,576.0728577816096,0.056451612903225805,12.841568660394264,4.4447224089008355,8.110798144414577,1.7786259541984732,580.4274809160305,3.6615384615384614,0.27692307692307694,false,2017-01-01,2018-08-31
books_imported,60,53,7,4639.849999999998,0.00034263391015445355,77.33083333333329,63.0,769.8499999999999,12.830833333333333,0.16592131211138297,625.8333333333334,2.105716666666667,20.501997336884152,338.910225353086,0.03508771929824561,8.126521483105911,2.402936565951918,5.255817495126704,1.7333333333333334,647.95,4.4,0.11666666666666667,false,2017-01-01,2018-08-31
art,209,202,36,24202.640000000087,0.0017872657907606103,115.80210526315831,97.5,4045.1700000000033,19.354880382775136,0.1671375519364825,1557.5454545454545,14.435626794258377,12.426526831875707,501.2840461663007,0.06091370558375635,11.36186336717428,3.4592879300620396,7.341965183775144,1.8899521531100478,953.9138755980862,3.9371980676328504,0.18357487922705315,false,2017-01-01,2018-08-31
furniture_bedroom,109,95,23,20028.78,0.001479043332655866,183.75027522935778,179.0,4632.229999999998,42.4975229357798,0.23127868996514006,9989.220183486239,47.93340366972476,4.2543383923036275,607.2535381211776,0.06796116504854369,13.244851334951463,4.065676015821648,8.70097873966199,2.0642201834862384,738.7247706422019,4.1192660550458715,0.1651376146788991,false,2017-01-01,2018-08-31
pc_gamer,9,8,2,1545.95,0.00011416207278323173,171.77222222222224,129.99,133.57,14.841111111111111,0.08639994825188395,1882.7777777777778,6.354666666666667,7.882561227500737,479.1264292875377,0.0,9.395118634259259,2.0586964699074075,6.852076099537037,3.888888888888889,949.0,3.3333333333333335,0.3333333333333333,true,2017-01-01,2018-08-31
telephony,4534,4189,147,323107.9499999898,0.023860198133665148,71.26333259814508,29.99,71066.32999999894,15.674091310101222,0.2199460892249825,261.622849580944,1.7798522276135667,59.91101822798465,702.3951058479332,0.06965174129353234,12.863406735263062,3.0254926912156295,9.326255420603216,2.9047198941332155,760.3275253639171,3.9469006887358367,0.1684070206620751,false,2017-01-01,2018-08-31
housewares,6952,5875,467,630961.5900000238,0.04659392798021044,90.75972238205176,59.75,145893.64000000077,20.985851553509892,0.23122428102159953,3215.4329689298042,22.745542577675696,6.526602095671935,493.9678846068541,0.05012531328320802,10.910994803866947,2.6649661019378423,7.814978865327817,2.3227848101265822,694.5133774453394,4.054879814653924,0.15638575152041703,false,2017-01-01,2018-08-31
fashion_sport,30,27,10,2119.5100000000007,0.00015651712855188561,70.65033333333335,59.9,578.1300000000001,19.271000000000004,0.27276587513151623,340.0,7.834999999999999,56.6794117647059,717.6233366504789,0.034482758620689655,11.82139527458493,2.0219240900383144,9.355686063218393,2.2333333333333334,588.5333333333333,4.233333333333333,0.1,false,2017-01-01,2018-08-31
home_confort,434,397,20,58572.04000000021,0.004325305147994686,134.95861751152123,89.9,8501.230000000003,19.588087557603693,0.1451414360845204,3114.400921658986,26.501589861751178,6.289520216032259,538.4602695558464,0.09324009324009325,13.543138057929735,2.38490883730467,10.683514714452215,1.576036866359447,265.778801843318,3.8310185185185186,0.2013888888888889,false,2017-01-01,2018-08-31
fixed_telephony,259,212,48,58878.11999999998,0.0043479079017949155,227.32864864864857,60.0,4568.2400000000025,17.63799227799229,0.07758807516272605,565.4864864864865,4.248980694980686,31.190828957879585,650.5989191163392,0.04,12.517527777777786,3.1367297222222223,8.840846620370373,2.9034749034749034,981.96138996139,3.67578125,0.26171875,false,2017-01-01,2018-08-31
furniture_living_room,503,422,56,68916.56000000003,0.005089205562075073,137.01105367793247,103.97,17968.17000000005,35.72200795228638,0.26072354743185155,8092.532803180915,42.62539363817105,4.414193778521999,562.5456375941014,0.0707070707070707,13.79503518986158,3.4075824448185563,9.974418490460147,2.0,587.4353876739563,3.9016064257028114,0.18072289156626506,false,2017-01-01,2018-08-31
drinks,379,297,36,22428.70000000004,0.0016562675906939255,59.178627968337835,47.49,5741.24999999999,15.14841688654351,0.2559778319742107,1052.3482849604222,9.30768601583115,14.394870123357713,403.59522807664047,0.0443213296398892,10.43188186108546,2.891494466246025,7.206039069713755,1.9788918205804749,1024.4063324538258,4.037533512064343,0.14745308310991956,false,2017-01-01,2018-08-31
furniture_mattress_and_upholstery,38,38,5,4368.08,0.0003225648092648396,114.94947368421053,85.0,1630.4599999999994,42.90684210526314,0.37326697313236007,7557.894736842105,69.5577105263158,5.677089136490249,269.8432544184216,0.13513513513513514,14.432969532032029,2.4862712712712707,11.645106356356356,1.368421052631579,918.2105263157895,3.8157894736842106,0.21052631578947367,false,2017-01-01,2018-08-31
arts_and_craftmanship,24,23,13,1814.0100000000004,0.00013395720537501875,75.58375000000002,44.9,370.12999999999994,15.422083333333331,0.2040396690205676,1369.875,8.687458333333334,11.258022325637981,251.07434633279797,0.041666666666666664,5.719785397376544,1.4139414544753086,3.5551364776234564,3.7083333333333335,792.2083333333334,4.125,0.125,true,2017-01-01,2018-08-31
small_appliances_home_oven_and_coffee,76,75,15,47445.71000000001,0.0035036712689751324,624.2856578947369,587.0,2747.8599999999988,36.15605263157893,0.05791587901203288,5074.894736842105,39.317210526315776,7.124493118861679,498.048621324503,0.0547945205479452,9.831996289954338,2.233824200913241,7.138696251902587,4.197368421052632,1368.1052631578948,4.302631578947368,0.10526315789473684,false,2017-01-01,2018-08-31
auto,4223,3886,379,590886.8600000106,0.04363457338075388,139.9211129528796,84.9,92239.90000000011,21.842268529481437,0.15610416518654427,2586.1408950982714,18.02648164811732,8.445892708661354,618.3509815041501,0.07044299201161947,12.197626261352719,2.424390588997365,9.323154110295233,2.5136159128581577,880.0281790196543,4.067464114832536,0.1519138755980861,false,2017-01-01,2018-08-31
home_construction,604,490,68,83088.11999999979,0.006135717198397016,137.56311258278112,95.2,13832.240000000016,22.901059602649035,0.16647674781906308,3051.4718543046356,20.726791390728533,7.504922442703536,573.586990381642,0.0587248322147651,13.210775462962964,4.05662819646409,8.729923312049472,3.4917218543046356,803.7764900662252,3.9382303839732886,0.17863105175292154,false,2017-01-01,2018-08-31
pet_shop,1943,1706,137,213625.72999999684,0.015775384803279956,109.94633556355987,89.7,39475.05999999992,20.316551724137888,0.18478607422430107,2917.9130211013894,20.890448275861978,6.962699565482334,552.1002687303898,0.049479166666666664,11.208185788001535,2.8359592013889,8.00360189404901,2.554297478126608,905.1461657231085,4.184169684428349,0.1298499741334713,false,2017-01-01,2018-08-31
consoles_games,1127,1052,82,153582.9599999991,0.01134147227127919,136.27591836734612,59.0,19620.859999999986,17.40981366459626,0.12775414668398175,436.82608695652175,5.575590949423267,39.85525174536817,708.7297548730536,0.059149722735674676,13.513496600516886,3.405316564831933,9.658132263212845,2.578527062999113,689.3309671694765,4.029569892473118,0.15232974910394265,false,2017-01-01,2018-08-31
construction_tools_safety,194,167,35,40544.52000000005,0.0029940466659343443,208.99237113402086,125.575,3919.100000000002,20.20154639175259,0.0966616450262575,798.639175257732,6.7897371134020625,25.294960499819293,735.6956330266529,0.0273224043715847,11.920183983505362,3.1678847272819253,8.316215088038863,2.422680412371134,1320.2886597938145,3.844559585492228,0.20207253886010362,false,2017-01-01,2018-08-31
small_appliances,679,630,105,190648.5799999994,0.014078616427426313,280.77846833578707,99.0,16020.25000000002,23.593888070692223,0.08403026133213302,2992.1958762886597,20.809530191458023,7.885141563645448,544.5529032914441,0.04559270516717325,10.775476120117085,2.3107650146346943,8.101702039710679,2.313696612665685,1108.5522827687776,4.147102526002972,0.14413075780089152,false,2017-01-01,2018-08-31
party_supplies,43,39,12,4485.180000000002,0.00033121216443345226,104.30651162790703,67.9,827.9699999999998,19.255116279069764,0.18460128690487326,1997.6744186046512,14.345255813953491,9.638766006984863,530.414396533151,0.0,9.332789902998238,1.7302075066137559,7.090350529100531,2.2790697674418605,385.69767441860466,3.7674418604651163,0.23255813953488372,false,2017-01-01,2018-08-31
agro_industry_and_commerce,212,182,34,72530.47,0.005356078007142537,342.12485849056606,258.65,5843.600000000005,27.56415094339625,0.08056751872695717,3625.1132075471696,22.455981132075447,7.603666248549174,664.2783024596945,0.03398058252427184,11.641858818770219,2.5916766113807985,8.303184387360664,2.349056603773585,865.5188679245283,4.0,0.16037735849056603,false,2017-01-01,2018-08-31
