dimension,dimension_value,purchase_month,n_orders,late_rate,severely_late_rate,mean_lateness_days_when_late,worst_lateness_days,mean_total_days,median_total_days,mean_payment_approval_days,mean_seller_handling_days,mean_carrier_transit_days,share_payment_approval,share_seller_handling,share_carrier_transit,mean_promised_days,mean_slack_days,mean_promise_utilisation,seller_sla_miss_rate,mean_review_score,detractor_rate,mean_route_distance_km,suppress_small_n,clamped_share,analysis_start,analysis_end
primary_category,furniture_living_room,2017-02-01,12,0.08333333333333333,0.0,4.589988425925926,4.589988425925926,15.148621720679012,13.631493055555556,0.15209876543209877,3.2473447145061733,11.749178240740742,0.010040435904770958,0.21436568780863427,0.7755938762865949,32.78596354166667,17.637341820987654,0.46836384899556577,0.25,4.0,0.09090909090909091,770.1061053680678,true,0.0,2017-01-01,2018-08-31
primary_category,fashion_bags_accessories,2017-03-01,60,0.03333333333333333,0.016666666666666666,20.490462962962965,40.546284722222225,10.983663194444444,8.921319444444444,0.30794039351851854,1.5990733024691357,9.076649498456788,0.028036219616992198,0.145586520103598,0.8263772602794096,27.236138888888885,16.252475694444446,0.40496886733370474,0.016666666666666666,4.423728813559322,0.06779661016949153,568.9251384862213,false,0.0,2017-01-01,2018-08-31
primary_category,fashion_bags_accessories,2018-03-01,126,0.2222222222222222,0.12698412698412698,12.067317294973545,36.92553240740741,16.10761316872428,11.898964120370369,0.27440963036449145,2.643329659024103,13.189873879335684,0.017036020637576848,0.16410436675724155,0.8188596126051815,22.274638631687246,6.167025462962963,0.7053073723872466,0.07936507936507936,3.912,0.2,703.4233931085105,false,0.0,2017-01-01,2018-08-31
primary_category,construction_tools_construction,2018-04-01,74,0.05405405405405406,0.04054054054054054,12.222442129629629,24.575185185185184,10.282282907907907,8.966093749999999,0.6625370683183185,1.5526625062562565,8.067083333333333,0.0644348219410277,0.1510036749778722,0.7845615030811002,23.592359390640638,13.310076482732732,0.4233962546448915,0.06756756756756757,4.178082191780822,0.1232876712328767,498.60532492666783,false,0.05405405405405406,2017-01-01,2018-08-31
primary_category,office_furniture,2018-01-01,104,0.0673076923076923,0.038461538461538464,12.601545965608466,37.56497685185185,29.905367810719376,26.66001736111111,0.6746109330484332,14.878931401353274,14.351825476317664,0.02255818879467597,0.49753380381498014,0.47990800739034384,47.68472667378917,17.7793588630698,0.6254199534206085,0.4423076923076923,3.4174757281553396,0.27184466019417475,581.832672522789,false,0.0,2017-01-01,2018-08-31
primary_category,industry_commerce_and_business,2018-01-01,15,0.0,0.0,,-5.329814814814815,12.768371913580244,12.024085648148148,0.38681327160493834,3.3596820987654317,9.021876543209878,0.030294643218649487,0.2631253319925718,0.7065800247887789,27.92660416666667,15.158232253086421,0.4545833943482854,0.06666666666666667,4.6,0.06666666666666667,778.1986154842951,true,0.0,2017-01-01,2018-08-31
primary_category,baby,2017-08-01,119,0.008403361344537815,0.0,2.655104166666667,2.655104166666667,11.003844440554,9.996967592592593,0.3673235683162154,2.69010494475568,7.946415927482104,0.033381385051434086,0.24446955418975772,0.7221490607588081,24.673927890600687,13.670083450046688,0.4385394916352831,0.14285714285714285,4.336134453781512,0.09243697478991597,696.7360163667036,false,0.0,2017-01-01,2018-08-31
primary_category,telephony,2017-08-01,127,0.023622047244094488,0.007874015748031496,5.598726851851853,10.75675925925926,12.53539114902304,10.915671296296296,0.5169443533100029,2.9782076589384654,9.04023913677457,0.04123878921403194,0.23758394321589044,0.7211772675700776,25.773161909448813,13.237770760425782,0.47291992005561373,0.06299212598425197,4.125984251968504,0.12598425196850394,797.9184677980603,false,0.0,2017-01-01,2018-08-31
primary_category,home_construction,2018-06-01,59,0.0,0.0,,-6.164108796296296,12.60471967200251,13.134224537037037,0.24921433615819208,5.852920786252354,6.502584549591965,0.01977150961252591,0.4643435902230185,0.5158849001644558,31.789387947269308,19.184668275266787,0.3931476531526728,0.22033898305084745,4.389830508474576,0.06779661016949153,513.7023906353269,false,0.0,2017-01-01,2018-08-31
primary_category,home_appliances,2017-07-01,37,0.02702702702702703,0.02702702702702703,7.948923611111111,7.948923611111111,10.489338713713716,9.957418981481482,0.23211961961961966,2.906502752752753,7.350716341341341,0.022129099455635605,0.2770911333955499,0.7007797671488144,22.49729761011011,12.007958896396397,0.44518271419366523,0.08108108108108109,4.162162162162162,0.13513513513513514,617.451587170135,false,0.0,2017-01-01,2018-08-31
